B,n,snr,icc,rho,method,j,sd,bias,mse,coverage,n_rep_used,mean_Nj,min_Nj
30,1000,0.3,0.2,0.6,ours,2,0.04957568078300014,-0.0036356586187654594,0.002458677398064643,0.945,200,935.37,912.0
30,1000,0.3,0.2,0.6,ours,3,0.06540606154941701,-0.002584300465070496,0.00426324173186286,0.945,200,874.815,844.0
30,1000,0.3,0.2,0.6,ours,4,0.07783154931717828,-0.004339846149331693,0.006046295583366661,0.95,200,818.57,785.0
30,1000,0.3,0.2,0.6,ours,5,0.0859572749137903,-0.008397358623132496,0.007422225476897395,0.93,200,767.23,727.0
30,1000,0.3,0.2,0.6,ours,6,0.0925609099694554,-0.010096780983441276,0.008626629430329342,0.955,200,717.66,673.0
30,1000,0.3,0.2,0.6,ours,7,0.09224676768665435,-0.009002578131865842,0.008547965230912748,0.945,200,671.605,630.0
30,1000,0.3,0.2,0.6,ours,8,0.09272617177820427,-0.0033436970044697523,0.008566332527635542,0.955,200,628.815,580.0
30,1000,0.3,0.2,0.6,ours,9,0.09670673499070429,-0.008029317251071876,0.009369901565117857,0.93,200,587.67,540.0
30,1000,0.3,0.2,0.6,ours,10,0.10279506852250585,-0.008376535941068,0.010584158336355945,0.925,200,549.285,506.0
30,1000,0.3,0.2,0.6,ours,11,0.10681958475907714,-0.01373616629555941,0.01154205383416042,0.925,200,513.745,473.0
30,1000,0.3,0.2,0.6,ours,12,0.09929454486746862,-0.009940704700701783,0.009908927217182107,0.925,200,480.38,433.0
30,1000,0.3,0.2,0.6,ours,13,0.11599252040321431,-0.013004669654498984,0.013556114898365284,0.92,200,449.795,406.0
30,1000,0.3,0.2,0.6,ours,14,0.11710372425324846,-0.005904196736534208,0.01367957536191465,0.935,200,420.705,381.0
30,1000,0.3,0.2,0.6,ours,15,0.11801686355777449,-0.02101142970882346,0.01429982036200312,0.93,200,393.97,354.0
30,1000,0.3,0.2,0.6,ours,16,0.10895815350066612,-0.007952958676135036,0.011875769369907658,0.96,200,368.205,333.0
30,1000,0.3,0.2,0.6,ours,17,0.12103348794759564,-0.018068534733900226,0.014902331626167133,0.935,200,344.54,308.0
30,1000,0.3,0.2,0.6,ours,18,0.12392165560714515,-0.013852492451379214,0.015471685391889325,0.945,200,322.595,284.0
30,1000,0.3,0.2,0.6,ours,19,0.1353628510602242,-0.002580365536769945,0.018238144226220027,0.945,200,302.135,267.0
30,1000,0.3,0.2,0.6,ours,20,0.14001170016834566,-0.010453620573914007,0.01961453798621393,0.905,200,282.81,254.0
30,1000,0.3,0.2,0.6,ours,21,0.13921740113006884,-0.008799650255648078,0.019362011198145165,0.915,200,264.75,234.0
30,1000,0.3,0.2,0.6,ours,22,0.13764417769552306,-0.012333517573323375,0.01900330571094082,0.965,200,247.18,212.0
30,1000,0.3,0.2,0.6,ours,23,0.13579398090571984,-0.00851301743112141,0.018420276689754468,0.945,200,231.12,194.0
30,1000,0.3,0.2,0.6,ours,24,0.1542976449635888,-0.0041754703409101574,0.02370615897767097,0.925,200,216.4,174.0
30,1000,0.3,0.2,0.6,ours,25,0.14575138029026571,-0.017996701011369284,0.02146112877952769,0.93,200,202.5,167.0
30,1000,0.3,0.2,0.6,ours,26,0.15512520723542547,-0.0129946242981895,0.024112371030885624,0.95,200,189.42,156.0
30,1000,0.3,0.2,0.6,ours,27,0.15867043757433716,-0.015324505485759183,0.025285266689614526,0.93,200,177.225,144.0
30,1000,0.3,0.2,0.6,ours,28,0.15934828076437804,-0.01766675519915086,0.025577029448916964,0.97,200,165.925,131.0
30,1000,0.3,0.2,0.6,ours,29,0.16221463561371746,-0.007953947115084159,0.026245285341964228,0.915,200,155.28,118.0
30,1000,0.3,0.2,0.6,ours,30,0.1625048176114801,0.007043485981070252,0.02632538736297125,0.95,200,145.29,112.0
30,1000,0.3,0.2,0.6,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
30,1000,0.3,0.2,0.6,naive,2,0.051899021131720124,0.02528384685746516,0.0033193137643703287,1.0,200,935.37,912.0
30,1000,0.3,0.2,0.6,naive,3,0.06731462439570812,0.05079760609434043,0.00708899914916336,0.965,200,874.815,844.0
30,1000,0.3,0.2,0.6,naive,4,0.07670588370524782,0.0703687403148586,0.010806133245527993,0.925,200,818.57,785.0
30,1000,0.3,0.2,0.6,naive,5,0.08583063017749246,0.08342099942543596,0.014289125736420738,0.885,200,767.23,727.0
30,1000,0.3,0.2,0.6,naive,6,0.090057084406743,0.09823858305521388,0.01772054626028017,0.85,200,717.66,673.0
30,1000,0.3,0.2,0.6,naive,7,0.08907652649574321,0.1136918409166926,0.020820789125710646,0.795,200,671.605,630.0
30,1000,0.3,0.2,0.6,naive,8,0.09280711157865768,0.1312014923023327,0.02578392574213462,0.77,200,628.815,580.0
30,1000,0.3,0.2,0.6,naive,9,0.09651776835314028,0.14068955811662995,0.029062652972883695,0.75,200,587.67,540.0
30,1000,0.3,0.2,0.6,naive,10,0.09993853780130296,0.15361640331957832,0.0335357721500165,0.715,200,549.285,506.0
30,1000,0.3,0.2,0.6,naive,11,0.10450082630397213,0.1591411187715043,0.03619171626856793,0.705,200,513.745,473.0
30,1000,0.3,0.2,0.6,naive,12,0.09590251763962869,0.1719622098671482,0.03872230804756431,0.65,200,480.38,433.0
